"IL_SMILES","Experiment_value","IL_to_nucleicacid_massratio","IL_molratio","HL_molratio","CHL_molratio","PEG_molratio","Dose_ug_nucleicacid","HL_name","CHL_name","PEG_name","Aqueous_buffer","Dialysis_buffer","Mixing_method","Model_type","Model_target","Route_of_administration","Cargo","Cargo_type","Experiment_batching","LNP_ID","Experiment_ID","IL_name","IL_head_name"
"CC/C=C\CCSCC(C)C(=O)OCCOC(=O)CCN(CCO)CCCN(CCC(=O)OCCOC(=O)C(C)CSCC/C=C\CC)CCC(=O)OCCOC(=O)C(C)CSCC/C=C\CC",0.360192224,13.25926179,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005019","SL_2020","3A4-3C","3A4"
"CC/C=C\CCSCC(C)C(=O)OCCOC(=O)CCN(CCCN1CCN(CCCN(CCC(=O)OCCOC(=O)C(C)CSCC/C=C\CC)CCC(=O)OCCOC(=O)C(C)CSCC/C=C\CC)CC1)CCC(=O)OCCOC(=O)C(C)CSCC/C=C\CC",1.246070396,16.21769967,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005020","SL_2020","4A1-3C","4A1"
"CC/C=C\CCSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCOC(=O)C(C)CSCC/C=C\CC)CCC(=O)OCCOC(=O)C(C)CSCC/C=C\CC)CCC(=O)OCCOC(=O)C(C)CSCC/C=C\CC",2.131948569,15.83275417,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005021","SL_2020","4A3-3C","4A3"
"CC/C=C\CCSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSCC/C=C\CC)CCN(CCN(CCC(=O)OCCOC(=O)C(C)CSCC/C=C\CC)CCC(=O)OCCOC(=O)C(C)CSCC/C=C\CC)CCN(CCC(=O)OCCOC(=O)C(C)CSCC/C=C\CC)CCC(=O)OCCOC(=O)C(C)CSCC/C=C\CC",0.360192224,19.46459718,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005022","SL_2020","6A3-3C","6A3"
"CCCCCCCCSCC(C)C(=O)OCCOC(=O)CCN(CCCN1CCN(C)CC1)CCC(=O)OCCOC(=O)C(C)CSCCCCCCCC",0.360192224,11.3873675,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005023","SL_2020","2A2-SC8","2A2"
"CCCCCCCCSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSCCCCCCCC)CCN(C)C",-0.525685949,10.68246076,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005024","SL_2020","2A9-SC8","2A9"
"CCCCCCCCSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCOC(=O)C(C)CSCCCCCCCC",-1.411564121,10.82833474,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005025","SL_2020","2A9V-SC8","2A9V"
"CCCCCCCCSCC(C)C(=O)OCCOC(=O)CCN(CCO)CCCN(CCC(=O)OCCOC(=O)C(C)CSCCCCCCCC)CCC(=O)OCCOC(=O)C(C)CSCCCCCCCC",0.360192224,14.02128812,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005026","SL_2020","3A4-SC8","3A4"
"CCCCCCCCSCC(C)C(=O)OCCOC(=O)CCN(CCCN1CCN(CCCN(CCC(=O)OCCOC(=O)C(C)CSCCCCCCCC)CCC(=O)OCCOC(=O)C(C)CSCCCCCCCC)CC1)CCC(=O)OCCOC(=O)C(C)CSCCCCCCCC",1.246070396,17.01712147,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005027","SL_2020","4A1-SC8","4A1"
"CCCCCCCCSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCOC(=O)C(C)CSCCCCCCCC)CCC(=O)OCCOC(=O)C(C)CSCCCCCCCC)CCC(=O)OCCOC(=O)C(C)CSCCCCCCCC",2.131948569,16.65781575,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005028","SL_2020","4A3-SC8","4A3"
"CCCCCCCCSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSCCCCCCCC)CCN(CCN(CCC(=O)OCCOC(=O)C(C)CSCCCCCCCC)CCC(=O)OCCOC(=O)C(C)CSCCCCCCCC)CCN(CCC(=O)OCCOC(=O)C(C)CSCCCCCCCC)CCC(=O)OCCOC(=O)C(C)CSCCCCCCCC",0.360192224,20.34987096,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005029","SL_2020","6A3-SC8","6A3"
"CC(C)=CCC/C(C)=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCCN1CCN(C)CC1)CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C",-0.525685949,11.85778082,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005030","SL_2020","2A2-Ne-SH","2A2"
"CC(C)=CCC/C(C)=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C)CCN(C)C",-1.411564121,11.17613803,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005031","SL_2020","2A9-Ne-SH","2A9"
"CC(C)=CCC/C(C)=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C",-1.411564121,11.31715245,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005032","SL_2020","2A9V-Ne-SH","2A9V"
"CC(C)=CCC/C(C)=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCO)CCCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C)CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C",-0.525685949,14.5995359,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005033","SL_2020","3A4-Ne-SH","3A4"
"CC(C)=CCC/C(C)=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCCN1CCN(CCCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C)CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C)CC1)CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C",-0.525685949,17.61814833,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005034","SL_2020","4A1-Ne-SH","4A1"
"CC(C)=CCC/C(C)=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C)CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C)CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C",-0.525685949,17.2775286,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005035","SL_2020","4A3-Ne-SH","4A3"
"CC(C)=CCC/C(C)=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C)CCN(CCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C)CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C)CCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C)CCC(=O)OCCOC(=O)C(C)CSC/C=C(/C)CCC=C(C)C",0.360192224,21.00407112,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005036","SL_2020","6A3-Ne-SH","6A3"
"C/C=C\CCCSCC(C)C(=O)OCCOC(=O)CCN(CCCN1CCN(C)CC1)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C",-0.525685949,10.77588088,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005037","SL_2020","2A2-4T","2A2"
"C/C=C\CCCSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C)CCN(C)C",-1.411564121,10.04013539,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005038","SL_2020","2A9-4T","2A9"
"C/C=C\CCCSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C",-0.525685949,10.19245476,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005039","SL_2020","2A9V-4T","2A9V"
"C/C=C\CCCSCC(C)C(=O)OCCOC(=O)CCN(CCO)CCCN(CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C",-0.525685949,13.25926179,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005040","SL_2020","3A4-4T","3A4"
"C/C=C\CCCSCC(C)C(=O)OCCOC(=O)CCN(CCCN1CCN(CCCN(CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C)CC1)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C",0.360192224,16.21769967,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005041","SL_2020","4A1-4T","4A1"
"C/C=C\CCCSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C",2.131948569,15.83275417,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005042","SL_2020","4A3-4T","4A3"
"C/C=C\CCCSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C)CCN(CCN(CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C)CCN(CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C",0.360192224,19.46459718,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005043","SL_2020","6A3-4T","6A3"
"C/C=C\CCCSCC(C)C(=O)OCCOC(=O)CCN(CCCN1CCN(C)CC1)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C",-0.525685949,10.77588088,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005044","SL_2020","2A2-4C","2A2"
"C/C=C\CCCSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C)CCN(C)C",-1.411564121,10.04013539,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005045","SL_2020","2A9-4C","2A9"
"C/C=C\CCCSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C",-1.411564121,10.19245476,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005046","SL_2020","2A9V-4C","2A9V"
"C/C=C\CCCSCC(C)C(=O)OCCOC(=O)CCN(CCO)CCCN(CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C",-0.525685949,13.25926179,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005047","SL_2020","3A4-4C","3A4"
"C/C=C\CCCSCC(C)C(=O)OCCOC(=O)CCN(CCCN1CCN(CCCN(CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C)CC1)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C",-0.525685949,16.21769967,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005048","SL_2020","4A1-4C","4A1"
"C/C=C\CCCSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C",0.360192224,15.83275417,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005049","SL_2020","4A3-4C","4A3"
"C/C=C\CCCSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C)CCN(CCN(CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C)CCN(CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C)CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C",0.360192224,19.46459718,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005050","SL_2020","6A3-4C","6A3"
"CC/C=C\C/C=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCCN1CCN(C)CC1)CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC",-0.525685949,11.30686477,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005051","SL_2020","2A2-SC8/2","2A2"
"CC/C=C\C/C=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC)CCN(C)C",-0.525685949,10.59793674,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005052","SL_2020","2A9-SC8/2","2A9"
"CC/C=C\C/C=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC",-1.411564121,10.74465095,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005053","SL_2020","2A9V-SC8/2","2A9V"
"CC/C=C\C/C=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCO)CCCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC)CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC",0.360192224,13.92164119,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005054","SL_2020","3A4-SC8/2","3A4"
"CC/C=C\C/C=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCCN1CCN(CCCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC)CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC)CC1)CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC",1.246070396,16.91306346,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005055","SL_2020","4A1-SC8/2","4A1"
"CC/C=C\C/C=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC)CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC)CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC",2.131948569,16.55047109,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005056","SL_2020","4A3-SC8/2","4A3"
"CC/C=C\C/C=C\CSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC)CCN(CCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC)CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC)CCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC)CCC(=O)OCCOC(=O)C(C)CSC/C=C\C/C=C\CC",1.246070396,20.23562402,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005057","SL_2020","6A3-SC8/2","6A3"
"CC(C)=CCC/C(C)=C/CC/C(C)=C/CSCC(C)C(=O)OCCOC(=O)CCN(CCCN1CCN(C)CC1)CCC(=O)OCCOC(=O)C(C)CSC/C=C(\C)CC/C=C(\C)CCC=C(C)C",-1.411564121,13.11135437,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005058","SL_2020","2A2-Far-SH","2A2"
"CC(C)=CCC/C(C)=C/CC/C(C)=C/CSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSC/C=C(\C)CC/C=C(\C)CCC=C(C)C)CCN(C)C",-0.525685949,12.48975624,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005059","SL_2020","2A9-Far-SH","2A9"
"CC(C)=CCC/C(C)=C/CC/C(C)=C/CSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCOC(=O)C(C)CSC/C=C(\C)CC/C=C(\C)CCC=C(C)C",-0.525685949,12.61823901,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0005060","SL_2020","2A9V-Far-SH","2A9V"
